URL,Page Type,Discovery Source,Likely Priority,Indexability Signal,Notes
https://cashahnawaz.com/,Homepage,XML Sitemap + Main Navigation,Tier 1,200; no noindex detected (individually fetched),lastmod 2026-08-19; primary entry point
https://cashahnawaz.com/gst-registration-online/,Service Page (GST),XML Sitemap + Main Navigation + Footer,Tier 1,200; individually fetched; title confirmed 'GST Registration Online In Mumbai | Expert CA Consultant',lastmod 2026-06-18
https://cashahnawaz.com/gst-return-filing/,Service Page (GST),XML Sitemap + Main Navigation + Footer,Tier 1,200; individually fetched; title confirmed 'GST Filing Services In Mumbai | Professional CA Support',lastmod 2026-07-22
https://cashahnawaz.com/income-tax-return-filing-in-mumbai/,Service Page (Income Tax),XML Sitemap + Main Navigation,Tier 1,200; individually fetched; title confirmed,lastmod 2026-07-22
https://cashahnawaz.com/itr-filing-for-nri-guide-for-non-resident-taxation/,Service Page (Income Tax - NRI Taxation),XML Sitemap + Main Navigation,Tier 1,Listed in XML sitemap (not individually verified),lastmod 2026-07-09
https://cashahnawaz.com/accounting-services/,Service Page (Accounting),XML Sitemap + Main Navigation + Footer,Tier 1,200; individually fetched; title confirmed,lastmod 2026-06-23
https://cashahnawaz.com/audit-services/,Service Page (Audit),XML Sitemap + Main Navigation + Footer,Tier 1,200; individually fetched; title confirmed,lastmod 2026-07-29
https://cashahnawaz.com/startup-registration-india/,Service Page (Registration & Compliance),XML Sitemap + Main Navigation,Tier 1,200; individually fetched; title confirmed,lastmod 2026-08-10
https://cashahnawaz.com/section-8-company-registration/,Service Page (Registration & Compliance - NGO adjacent),XML Sitemap + Main Navigation,Tier 1,200; individually fetched; title confirmed,lastmod 2026-07-22
https://cashahnawaz.com/public-limited-company/,Service Page (Registration & Compliance),XML Sitemap + Main Navigation + Footer,Tier 1,200; individually fetched; title confirmed,lastmod 2026-06-09
https://cashahnawaz.com/llp-annual-filing/,Service Page (Registration & Compliance - ROC Compliance),XML Sitemap + Footer,Tier 1,200; individually fetched; title confirmed,lastmod 2026-06-18
https://cashahnawaz.com/tds-return-filing-services/,Service Page (GST/Tax Compliance),XML Sitemap + Main Navigation,Tier 1,Listed in XML sitemap (not individually verified),lastmod 2026-07-22
https://cashahnawaz.com/12a-or-12aa-or-80g-registration-new-scheme/,Service Page (Registration & Compliance - NGO Registration),XML Sitemap + Main Navigation + Footer,Tier 1,Listed in XML sitemap (not individually verified),lastmod 2026-07-22
https://cashahnawaz.com/about-us/,About,XML Sitemap + Main Navigation + Footer,Tier 2,200; individually fetched,lastmod 2026-06-27
https://cashahnawaz.com/contact-us/,Contact,XML Sitemap + Main Navigation + Footer,Tier 2,200; individually fetched,lastmod 2026-07-22
