url,final_url,status,redirect_hops,redirect_chain,response_ms,bytes,content_type,cache_control,x_robots_tag,hsts,in_sitemap,lastmod,indexable,canonical,canonical_issue,meta_robots,title,title_length,meta_description,meta_length,h1_count,h1s,h2_count,word_count,image_count,images_missing_alt,images_empty_alt,form_count,form_fields,tel_links,whatsapp_links,schema_blocks,schema_types,schema_errors,gtm_ids,ga_ids,inbound_links,contextual_inbound_links,click_depth,page_type
https://cashahnawaz.com/,https://cashahnawaz.com/,200,0,,426,472121,text/html; charset=UTF-8,,,,True,2026-08-19T08:08:11+00:00,True,https://cashahnawaz.com/,,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","Shahnawaz And Associates - Tax Consultant, Tax Advisor, Income Tax, GST",71,"Shahnawaz And Associates is a Tax Consultant: Income Tax Filing, GST, and more. We offer LLP Registration, company registration, compliances, and many more. Contact us Today!",174,1,"Flawless Compliance. Strategic Advice.
Total Peace of Mind",12,1773,30,0,1,2,20,tel:+919819267015; tel:098192%2067015,,1,GeoCoordinates; ImageObject; LocalBusiness; Organization; Place; PostalAddress; SearchAction; WebPage; WebSite,0,GTM-N2LHGRCX,,1058,22,0,home
https://cashahnawaz.com/12a-or-12aa-or-80g-registration-new-scheme/,https://cashahnawaz.com/12a-or-12aa-or-80g-registration-new-scheme/,200,0,,675,369610,text/html; charset=UTF-8,,,,True,2026-07-22T12:34:46+00:00,True,https://cashahnawaz.com/12a-or-12aa-or-80g-registration-new-scheme/,,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",12A Registration Online | 80G Registration & Renewal | Apply Now,64,12A registration Online is essentially a one-time registration granted by the Income Tax Department to trusts and other not-for-profit institutions to claim tax exemption.,171,1,12A Registration Online,17,3262,6,0,1,4,40,tel:+919819267015; tel:098192%2067015,,1,Article; BreadcrumbList; GeoCoordinates; ImageObject; ListItem; LocalBusiness; Organization; Person; Place; PostalAddress; WebPage; WebSite,0,GTM-N2LHGRCX,G-1,765,23,1,service
https://cashahnawaz.com/9-principles-of-accounting-while-writing-books/,https://cashahnawaz.com/9-principles-of-accounting-while-writing-books/,200,0,,498,290770,text/html; charset=UTF-8,,,,True,2026-05-06T06:37:14+00:00,True,https://cashahnawaz.com/9-principles-of-accounting-while-writing-books/,,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",Top 9 Principles Of Accounting In Writing Accounting Books,58,"Accounting can be a complex subject. If you're writing an accounting book, it's important to understand the 9 principles of accounting. Learn how to apply them correctly.",170,1,Important Accounting Principles to know while writing Books of Accounts,9,2604,11,0,1,2,20,tel:+919819267015; tel:098192%2067015,,1,BlogPosting; BreadcrumbList; GeoCoordinates; ImageObject; ListItem; LocalBusiness; Organization; Person; Place; PostalAddress; WebPage; WebSite,0,GTM-N2LHGRCX,,14,3,3,service
https://cashahnawaz.com/?jkit-ajax-request=jkit_elements,https://cashahnawaz.com/?jkit-ajax-request=jkit_elements,200,0,,411,282392,text/html; charset=UTF-8,,,,False,,True,,missing,"follow, index",Shahnawaz and Associates,24,,0,10,"CBDT Circular No. 06/2026: Delay in Filing Form 10AB for 80G(5) Approval Finally Condoned; When Can I Expect My ITR Refund?; June 2026 Important Due dates | Income Tax | GST | MCA | Other Law; Dos and Don’ts for Salaried person’s ITR; Allotment letter and bank payment saves from addition under Section 56(2)(x): ITAT favors Buyer; Best Time to file ITR FY 2025-26; The Ultimate Real Estate Tax Guide for Buyers in India; TDS chart for FY 2026-27; Bank Transaction Limits Explained | Income Tax & GST Rules for Freelancers & Small Business; The Ultimate Guide to Form 10BD: NGO Compliance, Rules, Penalties, and the Transition to Form 113",2,2057,15,0,1,2,18,tel:+919819267015; tel:098192%2067015,,1,BreadcrumbList; CollectionPage; GeoCoordinates; ImageObject; ListItem; LocalBusiness; Place; PostalAddress; WebSite,0,GTM-N2LHGRCX,,9,0,orphan,home
https://cashahnawaz.com/a-guide-for-income-tax-return-filing-in-mumbai/,https://cashahnawaz.com/a-guide-for-income-tax-return-filing-in-mumbai/,200,0,,4555,271896,text/html; charset=UTF-8,,,,False,,True,https://cashahnawaz.com/a-guide-for-income-tax-return-filing-in-mumbai/,,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",A Guide For Income Tax Return Filing In Mumbai - Shahnawaz And Associates,73,"In India, the Income Tax Department is responsible for collecting taxes from residents and foreigners earning income in India. The Income Tax Department also",157,1,A Guide for Income Tax Return Filing in Mumbai,10,1892,11,0,1,2,20,tel:+919819267015; tel:098192%2067015,,1,BlogPosting; BreadcrumbList; GeoCoordinates; ImageObject; ListItem; LocalBusiness; Organization; Person; Place; PostalAddress; WebPage; WebSite,0,GTM-N2LHGRCX,,12,2,4,service
https://cashahnawaz.com/about-us/,https://cashahnawaz.com/about-us/,200,0,,457,298053,text/html; charset=UTF-8,,,,True,2026-06-27T07:16:57+00:00,True,https://cashahnawaz.com/about-us/,,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",About Us - Tax Consultant - Shahnawaz and Associates,52,Shahnawaz and Associates is today recognized as one of the respected firms in its area of practice. We are an active member of several tax professionals. Our,157,1,Our Focus is on High-End Consultancy,3,1129,13,0,1,2,20,tel:+919819267015; tel:098192%2067015,,1,AboutPage; BreadcrumbList; GeoCoordinates; ImageObject; ListItem; LocalBusiness; Organization; Place; PostalAddress; WebSite,0,GTM-N2LHGRCX,,743,1,1,business
https://cashahnawaz.com/accounting-services-blog/,https://cashahnawaz.com/accounting-services-blog/,200,0,,383,263720,text/html; charset=UTF-8,,,,True,2026-07-22T05:17:38+00:00,True,https://cashahnawaz.com/accounting-services-blog/,,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","Accounting Services Blog: Expert Advice, Tips, And Tricks",57,"Shahnawaz and Associates is an accounting blog that offers expert advice, tips, and tricks for accountants and tax professionals. Read our latest blogs to know more.",165,9,"What is the Role of Accounting Within A Company?; What Is An MIS Report? Definition, Types, Importance And Benefits; Important Accounting Principles to know while writing Books of Accounts; Important Accounting Concepts to Ensure Proper Accounting of Financial data; Common Accounting Errors and How to Prevent Them – An Ultimate Guide; What Is Business Accounting? 21 Tips For Business Owners; The Best Accounting Software for Small Businesses in 2023; Finalisation of Accounts – 9 Things You Must Never Miss Out: Guidelines for the Accountants; Avoid These Common Mistakes In Writing Books Of Accounts:",2,1932,14,0,1,2,18,tel:+919819267015; tel:098192%2067015,,1,BreadcrumbList; CollectionPage; GeoCoordinates; ImageObject; ListItem; LocalBusiness; Place; PostalAddress; WebSite,0,GTM-N2LHGRCX,,40,32,2,service
https://cashahnawaz.com/accounting-services/,https://cashahnawaz.com/accounting-services/,200,0,,473,420381,text/html; charset=UTF-8,,,,True,2026-06-23T08:39:53+00:00,True,https://cashahnawaz.com/accounting-services/,,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",Professional Accounting Services In Mumbai | Shahnawaz & Associates,67,"Shahnawaz and Associates is a leading providing consultancy of accounting services in Mumbai, including bookkeeping & tax preparation & accounting service.",155,1,Accounting Services in Mumbai,10,2979,14,0,1,4,40,tel:+919819267015; tel:098192%2067015,,1,Article; BreadcrumbList; GeoCoordinates; ImageObject; ListItem; LocalBusiness; Organization; Person; Place; PostalAddress; WebPage; WebSite,0,GTM-N2LHGRCX,,813,51,1,service
https://cashahnawaz.com/agm-deadline-extended-by-2-months/,https://cashahnawaz.com/agm-deadline-extended-by-2-months/,200,0,,4578,265584,text/html; charset=UTF-8,,,,False,,True,https://cashahnawaz.com/agm-deadline-extended-by-2-months/,,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",AGM Deadline Extended By 2 Months! - Shahnawaz And Associates,61,"MCA has extended deadline for holding Annual General Meeting from September 30, 2021 to November 30, 2021.",106,1,AGM Deadline Extended by 2 Months!,7,1082,12,0,2,2,20,tel:+919819267015; tel:098192%2067015,,1,BlogPosting; BreadcrumbList; GeoCoordinates; ImageObject; ListItem; LocalBusiness; Organization; Person; Place; PostalAddress; WebPage; WebSite,0,GTM-N2LHGRCX,,16,5,3,page
https://cashahnawaz.com/all-about-due-dates-of-filing-income-tax-return-assessment-year-2022-23/,https://cashahnawaz.com/all-about-due-dates-of-filing-income-tax-return-assessment-year-2022-23/,200,0,,4441,281476,text/html; charset=UTF-8,,,,False,,True,https://cashahnawaz.com/all-about-due-dates-of-filing-income-tax-return-assessment-year-2022-23/,,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",Income Tax Return - Due Dates FY 2025-26,40,"In India, Income earned during Financial year that is April-to-March, is to be reported to the Income tax Department. After end of the financial year,",150,1,All About Due dates of Filing Income tax return (Assessment Year 2026-27) FY 2025-26,9,1858,11,0,2,2,20,tel:+919819267015; tel:098192%2067015,,1,BlogPosting; BreadcrumbList; GeoCoordinates; ImageObject; ListItem; LocalBusiness; Organization; Person; Place; PostalAddress; WebPage; WebSite,0,GTM-N2LHGRCX,,16,5,2,business
