date,activeUsers,newUsers,sessions,engagedSessions,keyEvents
20260822,136,139,161,71,39
20260824,134,139,165,101,12
20260730,108,106,126,62,23
20260728,96,95,106,51,13
20260825,95,88,104,61,23
20260731,93,90,120,55,21
20260821,92,91,112,56,25
20260729,83,83,100,50,11
20260723,78,80,96,55,27
20260727,78,80,96,54,3
20260820,78,81,92,48,4
20260823,77,73,88,40,9
20260722,72,73,90,48,41
20260721,68,69,87,43,6
20260812,67,67,78,38,15
20260817,67,72,75,39,7
20260818,67,72,77,40,7
20260811,65,66,84,53,41
20260806,64,63,88,45,71
20260724,61,61,79,40,5
20260808,61,63,70,43,8
20260720,60,62,70,33,14
20260805,60,57,69,37,21
20260810,60,57,77,35,31
20260726,59,61,70,35,8
20260814,59,62,68,38,7
20260803,57,57,69,35,8
20260819,57,57,67,42,23
20260807,53,57,69,37,10
20260804,51,51,61,33,3
20260725,50,51,56,29,5
20260813,50,54,58,33,18
20260816,44,42,51,21,7
20260801,40,36,54,24,11
20260802,40,40,47,28,7
20260815,37,39,41,25,2
20260719,31,31,37,19,3
20260809,31,32,41,15,1
