city,activeUsers,sessions,engagedSessions,keyEvents
Mumbai,288,420,225,127
Bengaluru,160,192,115,18
Delhi,131,148,80,11
(not set),86,99,64,11
Chennai,86,109,63,11
Hyderabad,86,100,64,11
Pune,85,106,53,4
Kolkata,82,108,52,17
Ahmedabad,51,62,32,1
Jaipur,41,50,25,1
Gurugram,34,40,25,0
New Delhi,33,42,25,6
Lucknow,31,34,20,4
Surat,27,35,15,1
Indore,24,29,17,5
Noida,24,34,23,8
Patna,22,25,16,0
Nagpur,21,23,12,0
Kochi,20,25,16,1
Ludhiana,20,20,10,0
Nashik,19,21,16,6
Navi Mumbai,18,23,8,3
Thane,18,21,13,0
Coimbatore,17,22,12,1
Guwahati,17,18,11,3
Agra,16,19,9,1
Bhubaneswar,16,25,13,6
Ghaziabad,16,17,9,0
Bhopal,15,19,8,2
Kanpur,15,19,12,5
Thiruvananthapuram,12,13,9,0
Vadodara,12,13,8,4
Faridabad,10,12,7,0
Dehradun,9,9,8,2
Rajkot,9,10,6,0
Varanasi,9,10,6,0
Kalyan,8,10,6,2
Udaipur,8,9,4,0
Vijayawada,8,11,7,0
Chhatrapati Sambhajinagar,7,7,5,1
Hubballi,7,7,7,2
Jabalpur,7,7,6,0
Mira Bhayandar,7,8,4,4
Pimpri-Chinchwad,7,14,7,0
Amritsar,6,8,3,0
Chandigarh,6,7,6,3
Guntur,6,6,3,1
Meerut,6,6,6,1
Sahibzada Ajit Singh Nagar,6,6,3,0
Howrah,5,5,4,0
Jalandhar,5,6,4,0
Jodhpur,5,5,5,0
Madurai,5,7,3,0
Mysuru,5,5,4,2
Prayagraj,5,6,3,1
Tiruchirappalli,5,6,4,1
Virar,5,5,4,0
Visakhapatnam,5,7,6,1
Dubai,4,4,2,3
Durgapur,4,4,3,0
Jammu,4,4,2,0
Kota,4,5,2,0
Mangaluru,4,5,3,0
Raipur,4,5,3,0
Ranchi,4,5,3,1
Siliguri,4,4,2,3
Sonipat,4,4,2,0
Tirupati,4,4,3,0
Warangal,4,5,4,0
Ambernath,3,4,2,1
Asansol,3,3,1,0
Bhilwara,3,4,2,0
Chicago,3,3,2,0
Gandhinagar,3,3,2,1
Gwalior,3,4,1,0
Hardoi,3,3,2,2
Jamshedpur,3,3,2,1
Kolhapur,3,3,2,0
Kollam,3,5,2,0
Moradabad,3,4,2,0
Morbi,3,3,3,14
Pandharpur,3,3,1,0
Rohtak,3,4,1,0
Secunderabad,3,3,3,0
Vapi,3,4,2,0
Vasai-Virar,3,3,3,1
Anantapur,2,2,1,0
Banswara,2,2,2,0
Baranagar,2,2,1,0
Belagavi,2,2,1,0
Berhampore,2,2,0,0
Bhimavaram,2,2,1,0
Bhiwandi,2,2,2,0
Chengalpattu,2,2,1,0
Darjeeling,2,2,1,0
Doha,2,3,1,3
Elayavoor,2,2,1,0
Gandhidham,2,2,2,0
Gordhan Vilas Rural,2,2,1,0
Hosur,2,2,1,0
Jaunpur,2,2,0,0
Kampala,2,2,2,0
Karnal,2,2,1,0
Karur,2,2,2,0
Khammam,2,2,1,0
Kozhikode,2,2,2,0
Kundarapalli,2,2,2,5
Kurukshetra,2,2,1,0
Latur,2,3,1,0
Maraimalai Nagar,2,2,1,4
Matar,2,2,0,0
Muscat,2,2,1,0
Muzaffarpur,2,2,0,0
Nagercoil,2,3,1,0
Nellore,2,2,2,0
Palghar,2,2,2,1
Panaji,2,2,1,0
Panipat,2,2,2,0
Rajapalayam,2,2,2,0
Rajpur Sonarpur,2,6,2,0
Rewari,2,4,1,0
Roorkee,2,2,2,0
Rourkela,2,3,2,1
Salem,2,3,2,2
Shimla,2,2,1,0
Solan,2,2,1,0
Sriperumbudur,2,3,1,0
Sulur,2,2,1,0
Sydney,2,2,1,0
Thrissur,2,2,1,0
Tirunelveli,2,2,2,0
Agartala,1,2,2,1
Ahilyanagar,1,1,1,0
