country,clicks,impressions,ctr,position
ind,3791,345092,0.010985476336744984,7.689795764607699
usa,24,42238,0.0005682087220038827,8.508381078649556
are,11,1699,0.006474396703943496,8.90582695703355
can,5,2844,0.0017580872011251757,7.485232067510548
nzl,5,549,0.009107468123861567,16.03825136612022
pak,5,702,0.007122507122507123,12.897435897435898
qat,5,229,0.021834061135371178,7.262008733624454
sau,5,611,0.008183306055646482,11.500818330605565
deu,4,821,0.0048721071863581,7.521315468940316
zaf,4,1028,0.0038910505836575876,3.2295719844357977
aus,3,1606,0.0018679950186799503,14.024906600249066
nga,3,278,0.01079136690647482,12.338129496402878
nld,3,685,0.004379562043795621,7.026277372262774
omn,3,223,0.013452914798206279,7.2690582959641254
bel,2,130,0.015384615384615385,5.2846153846153845
bgd,2,2129,0.0009394081728511038,9.550493189290746
esp,2,452,0.004424778761061947,13.66150442477876
gbr,2,2541,0.0007870916961826052,22.93388429752066
ita,2,297,0.006734006734006734,8.185185185185185
kwt,2,153,0.013071895424836602,6.352941176470588
mex,2,444,0.0045045045045045045,16.695945945945944
npl,2,193,0.010362694300518135,7.5025906735751295
phl,2,1149,0.0017406440382941688,15.879025239338555
sgp,2,538,0.0037174721189591076,10.561338289962825
aut,1,71,0.014084507042253521,7.084507042253521
bhr,1,250,0.004,6.096
bwa,1,10,0.1,11.7
che,1,82,0.012195121951219513,8.451219512195122
hkg,1,462,0.0021645021645021645,11.29004329004329
hun,1,44,0.022727272727272728,8.522727272727273
jor,1,105,0.009523809523809525,22.8
khm,1,23,0.043478260869565216,9.782608695652174
kor,1,96,0.010416666666666666,7.072916666666667
mnp,1,10,0.1,3.5
mys,1,822,0.0012165450121654502,13.816301703163017
rus,1,293,0.0034129692832764505,16.928327645051194
tha,1,402,0.0024875621890547263,18.791044776119403
uga,1,63,0.015873015873015872,6.079365079365079
abw,0,3,0,4.666666666666666
afg,0,6,0,7
ago,0,10,0,9.2
alb,0,22,0,7.5
arg,0,477,0,5.813417190775682
arm,0,11,0,6.636363636363637
asm,0,1,0,3
atg,0,2,0,8
aze,0,15,0,16.6
ben,0,4,0,4.25
bes,0,3,0,5.333333333333333
bfa,0,2,0,6.5
bgr,0,31,0,20.64516129032258
bhs,0,13,0,6
bih,0,39,0,45.41025641025641
blr,0,23,0,8.782608695652174
blz,0,5,0,3.6
bmu,0,1,0,7
bol,0,22,0,7.363636363636363
bra,0,1101,0,8.105358764759309
brb,0,14,0,4.642857142857142
brn,0,5,0,3.8
btn,0,11,0,8
chl,0,158,0,8.069620253164558
chn,0,258,0,8.527131782945737
