country,clicks,impressions,ctr,position
ind,3631,333082,0.010901219519517715,7.495967959841721
usa,24,39247,0.0006115117079012409,8.10507809514103
are,10,1651,0.0060569351907934586,8.715324046032707
can,5,2686,0.0018615040953090098,6.278853313477289
nzl,5,522,0.009578544061302681,15.812260536398467
pak,5,683,0.007320644216691069,12.83601756954612
qat,5,224,0.022321428571428572,7.330357142857143
sau,5,606,0.00825082508250825,11.562706270627062
deu,4,796,0.005025125628140704,7.301507537688442
zaf,4,1015,0.003940886699507389,3.2
aus,3,1364,0.0021994134897360706,12.052785923753666
nga,3,272,0.011029411764705883,11.169117647058824
nld,3,669,0.004484304932735426,7.028400597907324
omn,3,220,0.013636363636363636,7
bel,2,126,0.015873015873015872,5.198412698412699
bgd,2,2078,0.0009624639076034649,9.53320500481232
esp,2,440,0.004545454545454545,13.872727272727273
gbr,2,2158,0.0009267840593141798,19.153846153846153
ita,2,291,0.006872852233676976,8.233676975945016
kwt,2,149,0.013422818791946308,6.241610738255034
mex,2,435,0.004597701149425287,16.648275862068964
npl,2,178,0.011235955056179775,7.522471910112359
phl,2,1139,0.001755926251097454,15.928884986830553
sgp,2,501,0.003992015968063872,9.209580838323353
aut,1,69,0.014492753623188406,6.956521739130435
bhr,1,248,0.004032258064516129,6.116935483870968
bwa,1,9,0.1111111111111111,5.555555555555555
che,1,78,0.01282051282051282,7.628205128205129
hkg,1,430,0.002325581395348837,9.853488372093024
hun,1,42,0.023809523809523808,8.80952380952381
jor,1,105,0.009523809523809525,22.8
khm,1,23,0.043478260869565216,9.782608695652174
kor,1,92,0.010869565217391304,6.945652173913044
mnp,1,10,0.1,3.5
mys,1,802,0.0012468827930174563,13.977556109725686
rus,1,286,0.0034965034965034965,17.03146853146853
tha,1,391,0.0025575447570332483,19.11764705882353
uga,1,63,0.015873015873015872,6.079365079365079
abw,0,3,0,4.666666666666666
afg,0,5,0,6.4
ago,0,10,0,9.2
alb,0,21,0,7
arg,0,462,0,5.554112554112554
arm,0,11,0,6.636363636363637
asm,0,1,0,3
atg,0,2,0,8
aze,0,10,0,10
ben,0,4,0,4.25
bes,0,3,0,5.333333333333333
bfa,0,2,0,6.5
bgr,0,31,0,20.64516129032258
bhs,0,13,0,6
bih,0,21,0,30.666666666666668
blr,0,22,0,8.227272727272727
blz,0,5,0,3.6
bmu,0,1,0,7
bol,0,22,0,7.363636363636363
bra,0,1057,0,7.986754966887418
brb,0,12,0,4.75
brn,0,5,0,3.8
btn,0,10,0,7.9
chl,0,155,0,7.890322580645162
chn,0,222,0,6.815315315315315
civ,0,12,0,6.75
cmr,0,8,0,7
cod,0,18,0,6.166666666666667
cog,0,4,0,13.25
col,0,206,0,12.315533980582524
cpv,0,1,0,16
cri,0,17,0,7.235294117647059
cub,0,13,0,5.153846153846154
cuw,0,6,0,6.166666666666667
cym,0,3,0,10.666666666666666
cyp,0,17,0,29.58823529411765
cze,0,28,0,7.428571428571429
dji,0,2,0,12
dma,0,1,0,1
dnk,0,46,0,5.8478260869565215
dom,0,40,0,5.9
dza,0,196,0,23.683673469387756
ecu,0,99,0,12.919191919191919
egy,0,100,0,17.36
esh,0,1,0,4
est,0,26,0,21.76923076923077
eth,0,38,0,13.368421052631579
fin,0,34,0,5.4411764705882355
fji,0,11,0,5.181818181818182
fra,0,588,0,10.399659863945578
fro,0,3,0,2
gab,0,3,0,5.666666666666667
geo,0,25,0,8.120000000000001
gha,0,46,0,6.978260869565218
gib,0,2,0,33
glp,0,2,0,3
gmb,0,1,0,2
grc,0,60,0,8.35
grd,0,2,0,5
gtm,0,8,0,5.625
gum,0,10,0,3.7
guy,0,11,0,4.363636363636363
hnd,0,8,0,12.5
hrv,0,18,0,5.888888888888889
hti,0,4,0,12.5
idn,0,1035,0,14.53816425120773
imn,0,2,0,5
irl,0,269,0,4.4684014869888475
irn,0,56,0,7
irq,0,86,0,19.72093023255814
