date,clicks,impressions,ctr,position
2026-05-28,18,1949,0.009235505387378143,10.17444843509492
2026-05-29,14,1817,0.007705008255365988,10.581177765547606
2026-05-30,13,1625,0.008,10.568615384615384
2026-05-31,11,1506,0.0073041168658698535,10.226427622841966
2026-06-01,18,3285,0.005479452054794521,7.35068493150685
2026-06-02,30,3799,0.007896814951302974,5.980521189786786
2026-06-03,33,3264,0.01011029411764706,6.534313725490196
2026-06-04,26,2404,0.010815307820299502,8.658485856905159
2026-06-05,22,2394,0.009189640768588136,9.037593984962406
2026-06-06,18,4027,0.004469828656568165,6.31214303451701
2026-06-07,29,3220,0.009006211180124223,6.874223602484472
2026-06-08,45,4574,0.009838216003498032,9.131832094446874
2026-06-09,26,3079,0.008444300097434233,8.955180253329003
2026-06-10,43,2873,0.014966933518969718,8.703445875391576
2026-06-11,38,3311,0.01147689519782543,9.088190878888554
2026-06-12,25,3100,0.008064516129032258,9.210967741935484
2026-06-13,12,2219,0.005407841369986481,9.18792248760703
2026-06-14,18,3058,0.005886200130804447,8.691301504251143
2026-06-15,31,4226,0.007335541883577852,9.230241362991007
2026-06-16,54,3478,0.015526164462334674,9.149223691776884
2026-06-17,22,3769,0.0058370920668612365,8.727248607057575
2026-06-18,22,3619,0.0060790273556231,8.743851892788063
2026-06-19,37,3503,0.0105623751070511,8.742506423065944
2026-06-20,16,2891,0.005534417156693186,8.715323417502594
2026-06-21,17,3030,0.005610561056105611,9.464686468646864
2026-06-22,45,4591,0.00980178610324548,9.097582226094532
2026-06-23,37,4180,0.008851674641148326,8.836363636363636
2026-06-24,35,4471,0.00782822634757325,8.532990382464773
2026-06-25,41,5241,0.007822934554474336,8.638809387521466
2026-06-26,30,4297,0.006981615080288574,8.885501512683266
2026-06-27,32,3918,0.00816743236345074,8.565339458907605
2026-06-28,27,4888,0.005523731587561375,7.700490998363339
2026-06-29,50,8312,0.006015399422521655,6.983878729547642
2026-06-30,47,6632,0.007086851628468034,7.610373944511459
2026-07-01,45,6782,0.006635210852255971,7.868033028605131
2026-07-02,60,8499,0.0070596540769502295,7.83551006000706
2026-07-03,51,6595,0.007733131159969674,7.727369219105383
2026-07-04,41,5144,0.00797045101088647,7.899883359253499
2026-07-05,31,3974,0.007800704579768495,7.48012078510317
2026-07-06,45,5358,0.0083986562150056,7.606942889137738
2026-07-07,58,5752,0.010083449235048678,7.216968011126565
2026-07-08,56,4878,0.011480114801148012,7.231857318573185
2026-07-09,41,4696,0.00873083475298126,7.211243611584327
2026-07-10,38,4248,0.008945386064030132,7.4698681732580035
2026-07-11,23,3805,0.006044678055190539,8.019973718791064
2026-07-12,33,3869,0.008529335745670715,8.337554923752908
2026-07-13,58,4766,0.012169534200587495,7.431598825010491
2026-07-14,46,4804,0.009575353871773521,7.348667776852623
2026-07-15,55,4937,0.011140368644926069,7.227668624670852
2026-07-16,57,5372,0.010610573343261355,7.503909158600149
2026-07-17,54,4328,0.012476894639556377,6.611367837338262
2026-07-18,44,3717,0.011837503362927092,6.551520043045467
2026-07-19,46,3725,0.012348993288590604,6.799463087248322
2026-07-20,51,4879,0.010452961672473868,6.660381225660996
2026-07-21,58,5145,0.011273080660835762,6.96268221574344
2026-07-22,62,5472,0.011330409356725146,6.582785087719298
2026-07-23,56,5410,0.010351201478743069,7.103142329020333
2026-07-24,49,5421,0.009038922707987456,7.5587529976019185
2026-07-25,42,5211,0.008059873344847437,6.730569948186528
2026-07-26,49,5347,0.009164017205909855,6.721900130914531
2026-07-27,68,7511,0.009053388363733192,6.992810544534683
2026-07-28,66,7238,0.00911854103343465,6.999309201436861
2026-07-29,78,8069,0.009666625356301896,6.679266327921676
2026-07-30,61,8950,0.006815642458100559,7.08122905027933
2026-07-31,48,7016,0.0068415051311288486,6.615165336374003
2026-08-01,26,2666,0.009752438109527382,9.104651162790697
2026-08-02,24,2335,0.010278372591006424,9.570449678800857
2026-08-03,43,3128,0.013746803069053709,9.225703324808185
2026-08-04,40,3051,0.013110455588331694,8.663389052769585
2026-08-05,48,3534,0.013582342954159592,8.209394453876627
2026-08-06,40,4042,0.009896091044037604,8.270410687778327
2026-08-07,38,3772,0.01007423117709438,7.804878048780488
2026-08-08,38,3065,0.012398042414355628,7.370309951060359
2026-08-09,27,3188,0.008469259723964869,8.797992471769135
2026-08-10,39,4892,0.007972199509403107,8.051921504497138
2026-08-11,50,4653,0.01074575542660649,8.585858585858585
2026-08-12,41,4920,0.008333333333333333,8.29410569105691
2026-08-13,46,5184,0.008873456790123456,8.804205246913579
2026-08-14,37,4277,0.008650923544540565,8.389291559504326
2026-08-15,23,2772,0.008297258297258298,8.614357864357864
2026-08-16,30,3440,0.00872093023255814,8.736918604651162
2026-08-17,60,5188,0.01156515034695451,8.068041634541249
2026-08-18,42,5254,0.007993909402360106,7.935287400076133
2026-08-19,47,4973,0.009451035592197869,7.9485220189020716
2026-08-20,55,5368,0.010245901639344262,7.9681445603576755
2026-08-21,84,5248,0.01600609756097561,7.254382621951219
2026-08-22,69,4987,0.013835973531181071,7.82995789051534
2026-08-23,70,4869,0.014376668720476484,7.649620045183816
2026-08-24,107,7207,0.014846676841959207,7.636603302344942
2026-08-25,68,7080,0.0096045197740113,7.808757062146893
