query,clicks,impressions,ctr,position,commercial_intent,opportunity_index
july 2026 tax deadlines,0,3331,0,9.144701290903633,True,1487.04
income tax refund,0,2333,0,4.734247749678525,True,1447.51
mis report,16,4471,0.0035786177588906284,10.766047864012526,False,1357.75
trademark class list,0,2145,0,6.036363636363636,False,873.05
10bd,2,2057,0.0009722897423432182,6.431696645600389,False,810.31
form 10bd,7,2037,0.003436426116838488,7.167893961708395,False,758.23
ca in mumbai,14,749,0.018691588785046728,3.0093457943925235,True,571.99
ca,0,865,0,4.310982658959538,True,562.42
when itr refund start,0,1317,0,10.385725132877752,True,551.7
accounting services,5,904,0.0055309734513274336,7.6084070796460175,True,439.99
finalisation,0,1054,0,5.943074003795067,False,432.35
tds chart for fy 2026-27,30,715,0.04195804195804196,8.16083916083916,True,323.71
sebi interim order gensol engineering april 15 2025 pdf,0,607,0,6.542009884678748,False,237.32
10bd form,5,580,0.008620689655172414,6.931034482758621,False,218.41
gst penalty typographical error relief,0,555,0,11.942342342342343,True,216.81
10 bd,1,428,0.002336448598130841,4.16822429906542,False,209.15
finalization of accounts,4,482,0.008298755186721992,5.925311203319502,False,196.37
itr filing in mumbai,7,249,0.028112449799196786,3.032128514056225,True,187.62
gst compliance advisories july 2026,3,334,0.008982035928143712,5.922155688622754,True,183.62
tax consultant,8,450,0.017777777777777778,10.70888888888889,True,182.34
form 10 bd,0,452,0,6.745575221238938,False,174.03
tds rate chart for fy 2026 27,2,217,0.009216589861751152,3.013824884792627,True,167.19
finalisation of accounts,0,377,0,5.997347480106101,False,153.94
12a,0,448,0,8.580357142857142,False,152.94
online tax consultant,1,367,0.0027247956403269754,10.61307901907357,True,151.67
late fees u/s 234g (form 10bd & 10be),0,346,0,5.401734104046243,False,148.87
12a registration online,3,306,0.00980392156862745,7.928104575163399,True,145.28
accounting services in mumbai,0,247,0,5.279352226720648,True,145.12
income tax return filing mumbai,0,233,0,4.721030042918455,True,144.77
gst filing services,3,380,0.007894736842105263,13.728947368421053,True,137.36
tax consultant mumbai,8,282,0.028368794326241134,7.329787234042553,True,136.63
july features multiple crucial income tax and gst compliance deadlines,4,182,0.02197802197802198,3.258241758241758,True,133.13
tax consultant in mumbai,7,250,0.028,6.452,True,129.15
10 bd form,1,319,0.003134796238244514,6.090909090909091,False,128.85
business accounting services,0,287,0,10.045296167247386,True,122.25
beauty parlour business code in income tax,1,210,0.004761904761904762,5.6761904761904765,True,118.43
account finalization,2,320,0.00625,7.253125,False,118.08
itr filing charges in mumbai,2,199,0.010050251256281407,5.557788944723618,True,112.81
12 a,0,316,0,8.098101265822784,False,111.04
tax consultancy,3,237,0.012658227848101266,8.818565400843882,True,106.38
best time to file itr,2,180,0.011111111111111112,5.133333333333334,True,106.06
tds payment due date for june 2026,1,221,0.004524886877828055,8.180995475113122,True,103.84
fy 2026-27 commission tds rules,0,219,0,8.287671232876711,True,102.7
form 8 and form 11 of llp,2,237,0.008438818565400843,9.60759493670886,True,102.35
tax consultant in india,2,305,0.006557377049180328,16.350819672131145,True,101.16
gst return filing services,0,270,0,13.862962962962962,True,97.9
in how many days itr refund is processed,0,225,0,9.977777777777778,True,96.16
event management business code income tax,2,146,0.0136986301369863,4.308219178082192,True,93.66
kerala hc gst itc ruling,2,154,0.012987012987012988,4.915584415584416,True,92.55
tax consultant website,69,189,0.36507936507936506,3.0793650793650795,True,92.32
in how many days tds amount will be refunded,1,206,0.0048543689320388345,9.37378640776699,True,90.39
tax consultants in mumbai,3,142,0.02112676056338028,4.309859154929578,True,90.39
gstr-9 late fees waiver notification,6,257,0.023346303501945526,8.105058365758754,False,88.16
restaurant business code in income tax,1,176,0.005681818181818182,7.2727272727272725,True,87.6
tax consultants online,0,172,0,7.348837209302325,True,85.66
tds deposit due date july 2026,0,183,0,8.398907103825136,True,85.25
income tax return filing in mumbai,3,129,0.023255813953488372,4.155038759689923,True,83.45
tax accounting services,1,139,0.007194244604316547,5.330935251798561,True,80.69
tds rate chart for fy 2026-27,3,129,0.023255813953488372,4.496124031007752,True,80.22
quarterly tds deposits for april-june are due by july 7 2026,1,126,0.007936507936507936,4.507936507936508,True,79.48
ca near me,0,151,0,6.827814569536423,True,78.01
chartered accountant in mumbai,1,123,0.008130081300813009,4.479674796747967,True,77.82
how to pay income tax using upi,0,166,0,8.46987951807229,True,77.0
beauty parlour income tax code,0,143,0,6.34965034965035,True,76.61
itr filing tips for influencers,0,143,0,6.356643356643357,True,76.57
tds due date for june 2026,0,136,0,6.161764705882353,True,73.96
accounting consultancy services,0,150,0,7.846666666666667,True,72.29
tds on event management services,0,162,0,9.203703703703704,True,72.09
income tax refund how many days,0,168,0,10.083333333333334,True,71.42
accounting and taxation services,0,156,0,9.179487179487179,True,69.51
tds 2026-27 chart,1,91,0.01098901098901099,3.10989010989011,True,68.9
when to file itr for fy 2025-26,0,164,0,10.676829268292684,True,67.76
income tax return filing agents in mumbai,0,95,0,3.705263157894737,True,66.63
event management tds rate,0,115,0,5.478260869565218,True,66.33
accounting and tax services,0,143,0,9.51048951048951,True,62.6
itr full form in medical,0,104,0,5.115384615384615,True,62.08
itr filing near me,0,127,0,7.700787401574803,True,61.78
business code for beauty parlour in income tax,0,92,0,4.076086956521739,True,61.52
ca firms in mumbai,6,166,0.03614457831325301,12.560240963855422,True,60.95
itr for doctors,2,114,0.017543859649122806,6.184210526315789,True,60.8
gst ex-parte assessment quashed,0,136,0,9.176470588235293,True,60.61
taxation and accounting services,0,123,0,7.528455284552845,True,60.52
accounting & tax consultancy services,0,88,0,3.909090909090909,True,60.09
sebi confirmatory order gensol july 2025 pdf,0,163,0,7.638036809815951,False,58.98
irs tax refund,0,78,0,3.2435897435897436,True,58.47
income tax consultant in mumbai,0,107,0,6.317757009345795,True,57.47
income tax deadlines july 2026,0,137,0,10.423357664233576,True,57.29
medical store business code in itr,0,121,0,8.190082644628099,True,57.08
best ca in mumbai,2,104,0.019230769230769232,5.980769230769231,True,56.31
how many days to get tds refund,1,128,0.0078125,9.484375,True,55.67
accounting and tax consultancy firm,0,87,0,4.505747126436781,True,55.33
12a and 80g registration process online,0,144,0,12.92361111111111,True,54.08
tax consultancy services,4,139,0.02877697841726619,11.39568345323741,True,53.99
ca firm in mumbai,0,124,0,9.661290322580646,True,53.86
itr refund how many days,0,132,0,11.121212121212121,True,53.44
income tax consultants in mumbai,1,92,0.010869565217391304,5.293478260869565,True,53.4
form 10 bd income tax,0,106,0,7.19811320754717,True,53.34
account finalization steps,1,129,0.007751937984496124,6.015503875968992,False,52.19
tax consultant online,3,106,0.02830188679245283,7.150943396226415,True,52.0
how to file itr for crypto trading in india,1,95,0.010526315789473684,5.957894736842105,True,51.99
gst tds return due date,0,118,0,9.567796610169491,True,51.5
itr refund status,3,76,0.039473684210526314,3.75,True,50.89
10 bd income tax,1,102,0.00980392156862745,7.284313725490196,True,50.52
beauty parlour itr code,1,94,0.010638297872340425,6.180851063829787,True,50.5
mca relaxation for filing of forms,0,91,0,5.945054945054945,True,50.38
ca;,0,80,0,4.675,True,49.95
10bd of income tax act,2,101,0.019801980198019802,7.623762376237623,True,48.4
after how many days itr refund is processed,0,113,0,10.11504424778761,True,47.97
texca and associates,0,117,0,6.068376068376068,False,47.5
crypto itr filing last date,0,90,0,6.666666666666667,True,47.06
income tax consultant,1,117,0.008547008547008548,11.367521367521368,True,46.45
accountant and tax consultant,0,85,0,6.211764705882353,True,46.04
bookkeeping services in mumbai,0,100,0,8.68,True,45.82
event management code in income tax,0,62,0,3.338709677419355,True,45.81
tax consultants,1,100,0.01,8.55,True,45.71
yes,0,95,0,4.336842105263158,False,45.62
agm due date for fy 2020-21,1,138,0.007246376811594203,9.144927536231885,False,45.3
accounts finalisation,0,113,0,6.31858407079646,False,44.95
doctor profession code in itr,0,84,0,6.404761904761905,True,44.81
donation form income tax,0,79,0,5.860759493670886,True,44.05
itr form for doctors,0,84,0,6.726190476190476,True,43.72
accounting services mumbai,3,75,0.04,4.973333333333333,True,43.59
catering services business code in income tax,0,66,0,4.181818181818182,True,43.57
event management services tds rate,0,57,0,3.1228070175438596,True,43.54
medical profession code in income tax,0,86,0,7.174418604651163,True,43.34
accounting and business advisory services,0,134,0,17.597014925373134,True,43.12
gst due date june 2026,0,86,0,7.453488372093023,True,42.53
income tax refund status,3,66,0.045454545454545456,4.0606060606060606,True,42.21
mis report meaning in marathi,0,110,0,6.909090909090909,False,41.85
medical profession income tax code,0,79,0,6.708860759493671,True,41.18
tax advisory firms in india,0,130,0,18.192307692307693,True,41.15
beauty parlour code in income tax,0,70,0,5.314285714285714,True,40.99
chartered accountant mumbai,0,80,0,6.95,True,40.97
in how many days income tax refund comes,0,98,0,10.459183673469388,True,40.91
gst july 2026,0,88,0,8.806818181818182,True,40.03
beauty parlour income tax business code,0,73,0,6.082191780821918,True,39.96
ca firm mumbai,5,117,0.042735042735042736,14.35897435897436,True,39.9
crypto itr filing,2,85,0.023529411764705882,8.070588235294117,True,39.44
professional accountants and tax consultants,0,56,0,3.7142857142857144,True,39.23
top ca firms in mumbai,2,91,0.02197802197802198,9.483516483516484,True,39.02
income tax payment through upi,0,83,0,8.373493975903614,True,38.72
accounts finalization,2,142,0.014084507042253521,13.316901408450704,False,38.36
conversion of trust to section 8 company,1,82,0.012195121951219513,8.158536585365853,True,38.28
mis full form,0,75,0,3.84,False,38.27
gym business code in income tax,0,74,0,6.905405405405405,True,38.02
form 10bd due date,0,103,0,7.359223300970874,False,37.97
cloud kitchen business code in income tax,1,56,0.017857142857142856,3.8392857142857144,True,37.89
doctor business code income tax,0,64,0,5.28125,True,37.6
how many days tds refund,0,86,0,9.709302325581396,True,37.26
income tax return agents in mumbai,0,68,0,6.235294117647059,True,36.76
