query,page,clicks,impressions,ctr,position,commercial_intent,opportunity_index
july 2026 tax deadlines,https://cashahnawaz.com/due-date/july/,0,3331,0,9.144701290903633,True,1487.04
income tax refund,https://cashahnawaz.com/when-can-i-expect-my-itr-refund/,0,2333,0,4.734247749678525,True,1447.51
mis report,https://cashahnawaz.com/what-is-an-mis-report-definition-types-importance-and-benefits/,16,4471,0.0035786177588906284,10.766047864012526,False,1357.75
trademark class list,https://cashahnawaz.com/trademark-classes/,0,2145,0,6.036363636363636,False,873.05
10bd,https://cashahnawaz.com/reporting-of-statement-of-donation-form-10bd/,2,2057,0.0009722897423432182,6.431696645600389,False,810.31
form 10bd,https://cashahnawaz.com/reporting-of-statement-of-donation-form-10bd/,7,2037,0.003436426116838488,7.167893961708395,False,758.23
ca in mumbai,https://cashahnawaz.com/,14,749,0.018691588785046728,3.0093457943925235,True,571.99
ca,https://cashahnawaz.com/,0,865,0,4.310982658959538,True,562.42
when itr refund start,https://cashahnawaz.com/when-can-i-expect-my-itr-refund/,0,1317,0,10.385725132877752,True,551.7
accounting services,https://cashahnawaz.com/accounting-services/,5,904,0.0055309734513274336,7.6084070796460175,True,439.99
finalisation,https://cashahnawaz.com/finalisation-of-accounts-9-things-you-must-never-miss-out/,0,1054,0,5.943074003795067,False,432.35
tds chart for fy 2026-27,https://cashahnawaz.com/tds-chart-for-fy-2026-27/,30,715,0.04195804195804196,8.16083916083916,True,323.71
sebi interim order gensol engineering april 15 2025 pdf,https://cashahnawaz.com/sebi-interim-order-gensol-engineering-ltd-2025/,0,607,0,6.542009884678748,False,237.32
10bd form,https://cashahnawaz.com/reporting-of-statement-of-donation-form-10bd/,5,580,0.008620689655172414,6.931034482758621,False,218.41
gst penalty typographical error relief,https://cashahnawaz.com/kerala-high-court-gst-itc-reporting-error-section-73-relief/,0,555,0,11.942342342342343,True,216.81
10 bd,https://cashahnawaz.com/reporting-of-statement-of-donation-form-10bd/,1,428,0.002336448598130841,4.16822429906542,False,209.15
finalization of accounts,https://cashahnawaz.com/finalisation-of-accounts-9-things-you-must-never-miss-out/,4,482,0.008298755186721992,5.925311203319502,False,196.37
itr filing in mumbai,https://cashahnawaz.com/income-tax-return-filing-in-mumbai/,7,249,0.028112449799196786,3.032128514056225,True,187.62
gst compliance advisories july 2026,https://cashahnawaz.com/due-date/july/,3,334,0.008982035928143712,5.922155688622754,True,183.62
tax consultant,https://cashahnawaz.com/,8,450,0.017777777777777778,10.70888888888889,True,182.34
form 10 bd,https://cashahnawaz.com/reporting-of-statement-of-donation-form-10bd/,0,452,0,6.745575221238938,False,174.03
tds rate chart for fy 2026 27,https://cashahnawaz.com/tds-chart-for-fy-2026-27/,2,217,0.009216589861751152,3.013824884792627,True,167.19
finalisation of accounts,https://cashahnawaz.com/finalisation-of-accounts-9-things-you-must-never-miss-out/,0,377,0,5.997347480106101,False,153.94
12a,https://cashahnawaz.com/12a-or-12aa-or-80g-registration-new-scheme/,0,448,0,8.580357142857142,False,152.94
online tax consultant,https://cashahnawaz.com/,1,367,0.0027247956403269754,10.61307901907357,True,151.67
late fees u/s 234g (form 10bd & 10be),https://cashahnawaz.com/reporting-of-statement-of-donation-form-10bd/,0,346,0,5.401734104046243,False,148.87
12a registration online,https://cashahnawaz.com/12a-or-12aa-or-80g-registration-new-scheme/,3,306,0.00980392156862745,7.928104575163399,True,145.28
accounting services in mumbai,https://cashahnawaz.com/accounting-services/,0,247,0,5.279352226720648,True,145.12
income tax return filing mumbai,https://cashahnawaz.com/income-tax-return-filing-in-mumbai/,0,233,0,4.721030042918455,True,144.77
