country,clicks,impressions,ctr,position
ind,887,79563,0.011148398124756482,8.592574437866848
usa,7,23196,0.00030177616830488014,7.15834626659769
zaf,4,646,0.006191950464396285,2.780185758513932
nga,3,155,0.01935483870967742,11.683870967741935
nzl,3,254,0.011811023622047244,7.7047244094488185
aus,2,645,0.0031007751937984496,8.322480620155039
bel,2,70,0.02857142857142857,4.514285714285714
bgd,2,796,0.002512562814070352,8.46356783919598
esp,2,221,0.00904977375565611,7.963800904977376
pak,2,196,0.01020408163265306,12.770408163265307
bhr,1,78,0.01282051282051282,6.089743589743589
bwa,1,4,0.25,3.25
can,1,1861,0.0005373455131649651,4.99032778076303
deu,1,315,0.0031746031746031746,7.67936507936508
gbr,1,888,0.0011261261261261261,21.08671171171171
hkg,1,121,0.008264462809917356,13.49586776859504
jor,1,16,0.0625,3.375
nld,1,372,0.002688172043010753,7.102150537634409
phl,1,508,0.001968503937007874,6.2637795275590555
qat,1,65,0.015384615384615385,6.6
sau,1,138,0.007246376811594203,8.673913043478262
sgp,1,142,0.007042253521126761,12.049295774647888
afg,0,1,0,12
ago,0,2,0,23.5
alb,0,7,0,6.142857142857143
are,0,287,0,9.968641114982578
arg,0,262,0,4.019083969465649
arm,0,3,0,6.333333333333333
aut,0,24,0,6.583333333333333
aze,0,5,0,8.4
ben,0,3,0,4
bes,0,1,0,4
bfa,0,2,0,6.5
bgr,0,10,0,27.9
bhs,0,7,0,4.285714285714286
bih,0,10,0,31.9
blr,0,15,0,8.533333333333333
blz,0,4,0,3.5
bol,0,13,0,8.76923076923077
bra,0,556,0,7.717625899280575
brb,0,9,0,5.777777777777778
brn,0,3,0,3.3333333333333335
btn,0,4,0,11
che,0,25,0,10.44
chl,0,86,0,8.697674418604652
chn,0,115,0,6.556521739130435
civ,0,3,0,9
cmr,0,1,0,1
cod,0,4,0,5
cog,0,1,0,3
col,0,83,0,11.060240963855422
cpv,0,1,0,16
cri,0,5,0,3.8
cub,0,8,0,4.625
cuw,0,2,0,2.5
cyp,0,7,0,24.285714285714285
cze,0,11,0,7.7272727272727275
dma,0,1,0,1
dnk,0,18,0,4.777777777777778
dom,0,21,0,5.285714285714286
dza,0,70,0,21.571428571428573
ecu,0,36,0,17.38888888888889
egy,0,49,0,16.632653061224488
est,0,11,0,31.545454545454547
eth,0,20,0,18.6
fin,0,6,0,3.3333333333333335
fji,0,5,0,5
fra,0,207,0,3.8743961352657004
fro,0,3,0,2
geo,0,7,0,11.714285714285714
gha,0,12,0,9.5
gib,0,1,0,65
gmb,0,1,0,2
grc,0,22,0,8.681818181818182
grd,0,2,0,5
gtm,0,3,0,3
gum,0,7,0,3.2857142857142856
guy,0,6,0,5.166666666666667
hnd,0,2,0,15.5
hrv,0,5,0,6.4
hun,0,10,0,8.4
idn,0,502,0,7.2629482071713145
imn,0,1,0,4
irl,0,137,0,3.875912408759124
irn,0,22,0,6.590909090909091
irq,0,20,0,9.8
isl,0,1,0,2
isr,0,15,0,5.666666666666667
ita,0,158,0,8.740506329113924
jam,0,27,0,6.296296296296297
jey,0,1,0,9
jpn,0,66,0,7.03030303030303
kaz,0,9,0,11.444444444444445
ken,0,49,0,6.36734693877551
kgz,0,2,0,8.5
khm,0,4,0,3.25
kna,0,5,0,2.4
kor,0,27,0,8
kwt,0,34,0,7.764705882352941
lao,0,3,0,6.666666666666667
lbn,0,6,0,6.166666666666667
lbr,0,1,0,6
lby,0,4,0,6.5
lca,0,2,0,3.5
lka,0,26,0,6.6923076923076925
ltu,0,12,0,2.75
lux,0,5,0,5.6
lva,0,1,0,2
mac,0,1,0,11
mar,0,69,0,18.27536231884058
mda,0,1,0,3
mdv,0,1,0,1
mex,0,151,0,10.059602649006623
mkd,0,3,0,20.333333333333332
mli,0,1,0,13
mlt,0,6,0,4
mmr,0,2,0,5
mnp,0,8,0,3.25
moz,0,3,0,14.666666666666666
mtq,0,1,0,2
mus,0,11,0,6.090909090909091
mwi,0,1,0,12
mys,0,380,0,7.594736842105263
nam,0,10,0,5.4
ner,0,1,0,6
nic,0,3,0,3
nor,0,30,0,3.7333333333333334
npl,0,65,0,8.830769230769231
omn,0,70,0,10.271428571428572
pan,0,6,0,5
per,0,37,0,11.405405405405405
png,0,2,0,2.5
pol,0,41,0,7.317073170731708
pri,0,16,0,4.875
prt,0,35,0,17.914285714285715
pry,0,16,0,7.4375
pse,0,9,0,7.333333333333333
reu,0,1,0,2
rou,0,18,0,9.61111111111111
rus,0,37,0,8.72972972972973
rwa,0,6,0,6
sen,0,8,0,13.375
shn,0,1,0,6
sjm,0,1,0,3
slb,0,1,0,2
slv,0,11,0,4.272727272727273
som,0,1,0,6
srb,0,6,0,6.333333333333333
ssd,0,1,0,5
sur,0,1,0,3
svk,0,5,0,6.2
svn,0,3,0,9
swe,0,223,0,3.071748878923767
swz,0,5,0,2
sxm,0,4,0,5.25
syc,0,1,0,11
syr,0,3,0,6
tcd,0,1,0,8
tgo,0,1,0,10
tha,0,70,0,12.971428571428572
tkm,0,1,0,1
tto,0,31,0,14.774193548387096
tun,0,11,0,7.363636363636363
tur,0,35,0,9.885714285714286
twn,0,35,0,4.6
tza,0,17,0,4.764705882352941
uga,0,20,0,6.2
ukr,0,22,0,11
ury,0,15,0,6.466666666666667
uzb,0,19,0,23.105263157894736
ven,0,34,0,9.647058823529411
vir,0,1,0,2
vnm,0,506,0,8.612648221343873
xkk,0,1,0,17
zmb,0,15,0,7.4
zwe,0,6,0,8.166666666666668
