country,clicks,impressions,ctr,position
ind,1525,150295,0.010146711467447354,6.824465218403806
usa,11,8983,0.0012245352332183011,9.275631748858956
are,8,694,0.011527377521613832,7.793948126801153
can,3,596,0.0050335570469798654,8.724832214765101
qat,3,113,0.02654867256637168,7.176991150442478
deu,2,358,0.00558659217877095,6.751396648044692
npl,2,61,0.03278688524590164,4.213114754098361
omn,2,120,0.016666666666666666,5.1
aus,1,500,0.002,13.632
gbr,1,809,0.0012360939431396785,16.285537700865266
hun,1,25,0.04,8.280000000000001
ita,1,98,0.01020408163265306,7.173469387755102
kwt,1,85,0.011764705882352941,6.482352941176471
mex,1,187,0.0053475935828877,14.406417112299465
mnp,1,2,0.5,4.5
mys,1,281,0.0035587188612099642,12.822064056939501
nld,1,243,0.00411522633744856,6.979423868312757
pak,1,313,0.003194888178913738,12.670926517571885
rus,1,130,0.007692307692307693,14.7
sau,1,302,0.0033112582781456954,9.248344370860927
sgp,1,265,0.0037735849056603774,8.10188679245283
uga,1,18,0.05555555555555555,6.444444444444445
abw,0,2,0,3
afg,0,3,0,4.333333333333334
ago,0,5,0,6.4
alb,0,12,0,7.583333333333333
arg,0,174,0,7.603448275862069
arm,0,4,0,10
asm,0,1,0,3
atg,0,2,0,8
aut,0,29,0,8.379310344827587
aze,0,3,0,13.666666666666666
bel,0,46,0,5.391304347826087
ben,0,1,0,5
bes,0,2,0,6
bgd,0,878,0,7.338268792710706
bgr,0,13,0,9.307692307692308
bhr,0,100,0,7.09
bhs,0,4,0,8.75
bih,0,6,0,8
blr,0,5,0,9
blz,0,1,0,4
bmu,0,1,0,7
bol,0,8,0,4.75
bra,0,432,0,8.12962962962963
brb,0,3,0,1.6666666666666665
brn,0,2,0,4.5
btn,0,5,0,5.2
bwa,0,5,0,7.4
che,0,39,0,6
chl,0,64,0,6.734375
chn,0,58,0,6.913793103448276
civ,0,7,0,4.571428571428571
cmr,0,5,0,6.6
cod,0,13,0,6.615384615384615
cog,0,2,0,9.5
col,0,109,0,14.091743119266056
cri,0,8,0,8.875
cub,0,3,0,3
cuw,0,4,0,8
cyp,0,4,0,7.25
cze,0,14,0,6.785714285714286
dji,0,1,0,8
dnk,0,24,0,6.5
dom,0,16,0,6.875
dza,0,80,0,22.8875
ecu,0,54,0,10.555555555555555
egy,0,45,0,19.377777777777776
esh,0,1,0,4
esp,0,132,0,12.053030303030303
est,0,10,0,6.9
eth,0,11,0,7.454545454545454
fin,0,17,0,5.0588235294117645
fji,0,2,0,6.5
fra,0,257,0,7.867704280155642
gab,0,1,0,6
geo,0,14,0,7.357142857142857
gha,0,20,0,5.65
gib,0,1,0,1
glp,0,2,0,3
grc,0,31,0,8.483870967741936
gtm,0,1,0,3
gum,0,2,0,4
guy,0,5,0,3.4
hkg,0,175,0,9.005714285714285
hnd,0,6,0,11.5
hrv,0,9,0,4.111111111111111
hti,0,2,0,6.5
idn,0,313,0,14.52076677316294
imn,0,1,0,6
irl,0,114,0,5.105263157894737
irn,0,20,0,7.85
irq,0,38,0,19.63157894736842
isl,0,2,0,4.5
isr,0,26,0,4.846153846153847
jam,0,8,0,5.25
jey,0,3,0,3.6666666666666665
jor,0,54,0,18.574074074074073
jpn,0,89,0,8.325842696629213
kaz,0,9,0,5.222222222222222
ken,0,42,0,4.976190476190476
kgz,0,2,0,14
khm,0,14,0,14
kna,0,1,0,11
kor,0,48,0,5.708333333333333
lao,0,2,0,5.5
lbn,0,1,0,2
lbr,0,2,0,1
lby,0,2,0,9
lca,0,1,0,10
lka,0,34,0,7.088235294117647
ltu,0,14,0,6.857142857142857
lux,0,12,0,11.75
lva,0,1,0,8
mar,0,124,0,24.201612903225808
mda,0,5,0,6.4
mdg,0,5,0,6
mdv,0,9,0,6.888888888888889
mkd,0,1,0,10
mli,0,2,0,4.5
mlt,0,5,0,4.2
mmr,0,5,0,5.4
mne,0,1,0,10
mng,0,2,0,8
moz,0,6,0,5.666666666666667
mrt,0,2,0,17
mtq,0,1,0,2
mus,0,11,0,6.636363636363637
mwi,0,4,0,6.5
nam,0,7,0,5
nga,0,78,0,12.012820512820513
nic,0,2,0,3.5
nor,0,24,0,6.333333333333333
nzl,0,167,0,18.982035928143713
pan,0,7,0,14
per,0,30,0,6.4
phl,0,321,0,13.305295950155763
png,0,5,0,4
pol,0,62,0,6.370967741935484
pri,0,4,0,6
prt,0,25,0,8.6
pry,0,28,0,5.071428571428571
pse,0,9,0,13.555555555555555
pyf,0,1,0,6
rou,0,19,0,8
rwa,0,2,0,6.5
sdn,0,3,0,3.6666666666666665
sen,0,3,0,14.333333333333334
sle,0,6,0,3.6666666666666665
slv,0,3,0,5
som,0,2,0,4.5
srb,0,15,0,8.066666666666666
ssd,0,1,0,1
sur,0,1,0,4
svk,0,3,0,7.333333333333333
svn,0,5,0,6.8
swe,0,62,0,5.854838709677419
swz,0,5,0,3.8
syc,0,1,0,10
syr,0,3,0,3.3333333333333335
tcd,0,2,0,1
tgo,0,1,0,6
tha,0,160,0,14.04375
tjk,0,1,0,4
tkm,0,2,0,6.5
tto,0,11,0,9.909090909090908
tun,0,17,0,11.235294117647058
tur,0,101,0,17.663366336633665
twn,0,34,0,6
tza,0,21,0,6.0476190476190474
ukr,0,48,0,18.5625
ury,0,21,0,6.761904761904762
uzb,0,14,0,6.428571428571429
ven,0,27,0,10.25925925925926
vnm,0,655,0,19.690076335877862
yem,0,1,0,2
zaf,0,346,0,3.722543352601156
zmb,0,28,0,11.178571428571429
zwe,0,9,0,7.666666666666667
zzz,0,5,0,9.2
